departamento;anio_referencia_y;mes_referencia_y;produccion_mensual_desde_semana_t;produccion_mensual_proxy_t;produccion_anual_departamental_t;area_cosechada_departamental_ha;rendimiento_departamental_t_ha;peso_mensual_prod_nacional;produccion_nacional_mensual_oficial_miles_sacos;valor_cosecha_anual_millones;PRECTOTCORR;IMERG_PRECTOT;lluvia_acum_4s;lluvia_acum_8s;T2M_mean;T2M_MAX_mean;T2M_MIN_mean;RH2M_mean;QV2M_mean;GWETTOP_mean;GWETROOT_mean;ALLSKY_SFC_SW_DWN_mean;WS2M_mean;anomalia_lluvia_semana_iso_mean;t2m_max_ma_4s_mean;gwetroot_ma_4s_mean;gwettop_ma_4s_mean;indice_climatico_base_x_mean;indice_climatico_ajustado_x_mean;dummy_exceso_lluvia_p75_any;dummy_exceso_lluvia_p75_mean;dummy_estres_hidrico_p25_any;dummy_estres_hidrico_p25_mean;dummy_temp_max_alta_p75_any;dummy_temp_max_alta_p75_mean;dummy_indice_climatico_bajo_p25_any;dummy_indice_climatico_bajo_p25_mean;dummy_indice_climatico_alto_p75_any;dummy_indice_climatico_alto_p75_mean;dummy_trm_lag4_alta_p75_any;dummy_trm_lag4_alta_p75_mean;dummy_devaluacion_4s_p75_any;dummy_devaluacion_4s_p75_mean;dummy_precio_interno_alto_p75_any;dummy_precio_interno_alto_p75_mean;dummy_precio_externo_alto_p75_any;dummy_precio_externo_alto_p75_mean;dummy_exportaciones_altas_p75_any;dummy_exportaciones_altas_p75_mean;precio_interno_cop_carga_mean;precio_interno_cop_carga_lag_1s_mean;precio_interno_cop_carga_lag_4s_mean;precio_interno_cop_carga_ma_4s_mean;precio_interno_cop_carga_var_4s_mean;precio_externo_exdock_cent_usd_lb_mean;precio_externo_exdock_cent_usd_lb_lag_1s_mean;precio_externo_exdock_cent_usd_lb_lag_4s_mean;precio_externo_exdock_cent_usd_lb_ma_4s_mean;precio_externo_exdock_cent_usd_lb_var_4s_mean;exportaciones_mensual_miles_sacos_mean;exportaciones_mensual_miles_sacos_lag_1s_mean;exportaciones_mensual_miles_sacos_lag_4s_mean;exportaciones_mensual_miles_sacos_ma_4s_mean;exportaciones_mensual_miles_sacos_var_4s_mean;trm_viernes_cop_usd_mean;trm_promedio_semana_cop_usd_mean;trm_viernes_cop_usd_lag_1s_mean;trm_viernes_cop_usd_lag_4s_mean;trm_viernes_cop_usd_ma_4s_mean;trm_viernes_cop_usd_var_4s_mean;nivel;dias_productivos_periodo_2021_2024;diff_target_mensual
ANTIOQUIA;2021;1;179,6320912;198,8783867;2313,87;1752,93;1,229704036;0,085950545;1081;10768530,45;9,02;284;39,95428571;45,85095238;21,81178571;26,97107143;18,10571429;80,05214286;14,58535714;0,6425;0,631428571;18,63892857;0,219642857;-0,709732143;26,23974206;0,65485119;0,679335317;0,461031222;0,838309367;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1073214,286;1067785,714;1073000;1066660,714;0,020236986;16,25;16,25;16,25;16,25;0;1072;1072;1072;1072;0;3507,405;3497,6225;3475,665;3432,5;3491,535;0,03698762;PANEL_DEPARTAMENTAL;7;-19,24629549
ANTIOQUIA;2021;2;203,6617707;203,6617707;2313,87;1752,93;1,394203561;0,08801781;1107;10768530,45;10,43428571;284;42,12857143;82,08285714;22,23964286;27,70392857;18,44607143;78,45964286;14,60107143;0,59;0,597142857;15,98535714;0,140357143;-0,242946429;27,62723214;0,603303571;0,599196429;0,388776728;0,816633018;0;0;0;0;1;0,25;1;0,5;0;0;0;0;0;0;0;0;0;0;1;1;1113535,714;1090107,143;1073214,286;1092616,071;0,037314972;16,88;16,7225;16,25;16,64375;0,038769231;1273,64;1223,23;1072;1198,025;0,188097015;3559,68;3554,505;3543,4475;3507,405;3540,685;0,014905525;PANEL_DEPARTAMENTAL;7;0
ANTIOQUIA;2021;3;174,4807547;193,1751213;2313,87;1752,93;1,194439627;0,083485728;1050;10768530,45;7,068571429;284;32,85857143;74,98714286;22,01392857;27,44464286;18,42714286;77,06714286;14,11107143;0,5575;0,574642857;15,38535714;0,108928571;-3,225892857;27,63428571;0,584910714;0,571875;0,355270018;0,806581005;0;0;1;1;1;0,5;1;1;0;0;0;0;0;0;0;0;0;0;1;1;1156107,143;1163500;1113535,714;1151669,643;0,039842125;16,25;16,4075;16,88;16,48625;-0,037322275;1128,007;1164,41525;1273,64;1182,619375;-0,114343928;3608,5625;3603,13;3598,3075;3559,68;3597,4;0,013764638;PANEL_DEPARTAMENTAL;7;-18,69436657
ANTIOQUIA;2021;4;175,0267489;149,0208078;2313,87;1752,93;1,19817733;0,064403276;810;10768530,45;15,90714286;355;54,75714286;92,47285714;22,78428571;28,16171429;19,02285714;76,06457143;14,55485714;0,570571429;0,578571429;16,814;0,122571429;-2,657571429;28,48678571;0,568571429;0,555142857;0,377230385;0,813169115;0;0;1;1;1;1;1;0,6;0;0;0;0;0;0;0;0;0;0;0;0;1209342,857;1176657,143;1152600;1174364,286;0,049698999;15,38;15,554;16,076;15,641;-0,042830769;1035,027;1053,623;1109,411;1062,921;-0,065942853;3660,926;3660,336;3645,98;3622,574;3640,03;0,010641404;PANEL_DEPARTAMENTAL;7;26,00594105
ANTIOQUIA;2021;5;102,3620427;113,3294045;2313,87;1752,93;0,700737915;0,048978294;616;10768530,45;2,662857143;284;21,21;71,11;23,92714286;30,09821429;19,33928571;68,91285714;13,89107143;0,512142857;0,539285714;17,66642857;0,082142857;-5,759375;28,60330357;0,568660714;0,550892857;0,237154646;0,771146394;0;0;1;1;1;0,75;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1387714,286;1359964,286;1227035,714;1338687,5;0,132676046;15,13;15,1925;15,38;15,22375;-0,016254876;345;517,50675;1035,027;603,760125;-0,666675362;3725,41;3736,075;3731,625;3656,5025;3712,3525;0,019028128;PANEL_DEPARTAMENTAL;7;-10,96736172
ANTIOQUIA;2021;6;177,8445537;193,5430739;2313,87;1752,93;1,217467123;0,083644748;1052;10768530,45;10,92428571;284;35,00857143;56,21857143;22,77357143;28,89321429;18,5375;73,17035714;13,84285714;0,516785714;0,538928571;16,7925;0,096428571;-4,276071429;29,54089286;0,53;0,506071429;0,33945544;0,801836632;0;0;1;1;1;1;1;0,75;0;0;0;0;0;0;0;0;0;0;0;0;1417821,429;1418285,714;1387714,286;1411794,643;0,02204045;15,31;15,265;15,13;15,2425;0,011896894;890,284;753,963;345;685,8025;1,580533333;3682,005;3680,635;3676,0675;3725,41;3679,1575;-0,01158329;PANEL_DEPARTAMENTAL;7;-15,69852015
ANTIOQUIA;2021;7;247,2119297;222,4273539;2313,87;1752,93;1,692334067;0,096127852;1209;10768530,45;9,034285714;355;39,18857143;84,44285714;23,85342857;30,58457143;18,84971429;65,34371429;12,984;0,489714286;0,524;18,31114286;0,081714286;-3,844714286;30,02207143;0,531571429;0,500785714;0,264643567;0,77939307;0;0;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;1;1;1557857,143;1488542,857;1421285,714;1474078,571;0,095577785;14,81;14,91;15,21;14,96;-0,026126715;1184,276;1125,4776;949,0824;1096,0784;0,264178172;3831,482;3822,534;3805,712;3701,038;3790,966;0,03548899;PANEL_DEPARTAMENTAL;7;24,78457577
ANTIOQUIA;2021;8;152,0475148;168,3383199;2313,87;1752,93;1,040868818;0,072751849;915;10768530,45;13,09571429;284;38,25714286;67,2;23,20678571;29,47035714;18,81928571;69,69392857;13,45285714;0,507142857;0,536071429;17,98892857;0,0775;-1,164910714;30,11089286;0,524017857;0,490892857;0,341799099;0,80253973;0;0;1;1;1;1;1;0,5;0;0;0;0;0;0;0;0;0;0;1;1;1700964,286;1714928,571;1588535,714;1696116,071;0,079539161;14,88;14,8625;14,81;14,85375;0,004726536;1130,973;1144,29875;1184,276;1150,961625;-0,045008934;3872,165;3885,995;3880,6025;3845,06;3877,065;0,007107363;PANEL_DEPARTAMENTAL;7;-16,29080516
ANTIOQUIA;2021;9;251,3056992;222,4273539;2313,87;1752,93;1,720358708;0,096127852;1209;10768530,45;15,58857143;355;70,73;122,5571429;23,45457143;29,95628571;18,86571429;70,47657143;13,822;0,537428571;0,564857143;18,90085714;0,082857143;-1,448928571;29,65285714;0,561428571;0,535214286;0,359757413;0,807927224;0;0;1;1;1;1;1;0,8;0;0;0;0;0;0;0;0;0;0;1;1;1723100;1712500;1708800;1714064,286;0,008470695;15,88;15,68;15,08;15,58;0,053763441;1089,832;1098,0602;1122,7448;1102,1743;-0,029101314;3816,26;3818,934;3826,816;3855,74;3827,288;-0,01003384;PANEL_DEPARTAMENTAL;7;28,87834532
ANTIOQUIA;2021;10;168,1662131;186,1840216;2313,87;1752,93;1,151212289;0,08046434;1012;10768530,45;21,21;284;77,73857143;134,8985714;21,91785714;26,91607143;18,72821429;83,17357143;15,26357143;0,625714286;0,615357143;17,17464286;0,101785714;-1,400803571;28,35258929;0,593392857;0,589553571;0,50940733;0,852822199;0;0;1;0,75;1;0,75;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1782785,714;1778428,571;1718839,286;1763276,786;0,03757793;15,63;15,6925;15,88;15,72375;-0,015743073;986,834;1012,5835;1089,832;1025,45825;-0,094508144;3775,7775;3771,41;3775,005;3822,815;3786,7425;-0,01225589;PANEL_DEPARTAMENTAL;7;-18,01780854
