fecha_semana_inicio,fecha_semana_fin,anio_semana_fin,anio_referencia_y,mes_referencia_y,semana_iso,dias_productivos_periodo_2021_2024,departamento,nivel,produccion_semanal_proxy_t,produccion_anual_departamental_t,area_cosechada_departamental_ha,rendimiento_departamental_t_ha,produccion_mensual_proxy_t,peso_mensual_prod_nacional,produccion_nacional_mensual_oficial_miles_sacos,PRECTOTCORR,IMERG_PRECTOT,T2M,T2M_MAX,T2M_MIN,RH2M,QV2M,GWETTOP,GWETROOT,ALLSKY_SFC_SW_DWN,WS2M,score_humedad,score_precipitacion,score_temperatura,score_radiacion,indice_climatico_base_x,indice_climatico_ajustado_x,lluvia_acum_4s,lluvia_acum_8s,anomalia_lluvia_semana_iso,t2m_max_ma_4s,gwetroot_ma_4s,gwettop_ma_4s,dummy_exceso_lluvia_p75,dummy_estres_hidrico_p25,dummy_temp_max_alta_p75,dummy_indice_climatico_bajo_p25,dummy_indice_climatico_alto_p75,precio_interno_cop_carga,precio_interno_cop_carga_lag_1s,precio_interno_cop_carga_lag_4s,precio_interno_cop_carga_ma_4s,precio_interno_cop_carga_var_4s,precio_externo_exdock_cent_usd_lb,precio_externo_exdock_cent_usd_lb_lag_1s,precio_externo_exdock_cent_usd_lb_lag_4s,precio_externo_exdock_cent_usd_lb_ma_4s,precio_externo_exdock_cent_usd_lb_var_4s,exportaciones_mensual_miles_sacos,exportaciones_mensual_miles_sacos_lag_1s,exportaciones_mensual_miles_sacos_lag_4s,exportaciones_mensual_miles_sacos_ma_4s,exportaciones_mensual_miles_sacos_var_4s,trm_viernes_cop_usd,trm_promedio_semana_cop_usd,trm_viernes_cop_usd_lag_1s,trm_viernes_cop_usd_lag_4s,trm_viernes_cop_usd_ma_4s,trm_viernes_cop_usd_var_4s,dummy_trm_lag4_alta_p75,dummy_devaluacion_4s_p75,dummy_precio_interno_alto_p75,dummy_precio_externo_alto_p75,dummy_exportaciones_altas_p75,valor_cosecha_anual_millones,valor_cosecha_semanal_proxy_millones,fuente_y_semanal,tipo_target
2021-01-04,2021-01-10,2021,2021,1,1,7,ANTIOQUIA,PANEL_DEPARTAMENTAL,44.90802281173776,2313.87,1752.93,1.32,198.8783867376958,0.0859505446449868,1081.0,2.29,71,20.63142857142857,24.78714285714286,17.47571428571429,84.59,14.49428571428572,0.7028571428571428,0.6685714285714287,16.26571428571429,0.1942857142857143,0.4104964790291865,0.2156491133071612,0.7609329446064146,0.3329880124315524,0.4377674840033421,0.8313302452010025,8.186666666666666,8.186666666666666,-1.875714285714285,25.48023809523809,0.6742857142857144,0.7097619047619048,0,0,0,0,0,1050285.714285714,1073000.0,,1061642.857142857,,16.25,16.25,,16.25,,1072.0,1072.0,,1072.0,,3478.11,3449.67,3432.5,,,,0,0,0,0,1,10768530.45442331,208997.6581640865,mensualizacion_estacionalidad_nacional_y_semanalizacion_calendario_dias,proxy_operacional_no_observada
2021-01-11,2021-01-17,2021,2021,1,2,7,ANTIOQUIA,PANEL_DEPARTAMENTAL,44.90802281173776,2313.87,1752.93,1.32,198.8783867376958,0.0859505446449868,1081.0,1.775714285714286,71,21.91142857142857,27.26142857142857,18.24714285714285,81.55857142857143,14.98,0.6585714285714286,0.6414285714285715,20.14571428571428,0.1971428571428571,0.3361442047920635,0.1669148504128875,0.9488176222870108,0.7349415421044841,0.5068248211678694,0.8520474463503608,9.96238095238095,9.96238095238095,-2.566071428571429,26.07396825396826,0.6633333333333334,0.6926984126984127,0,0,0,0,0,1068714.285714286,1050285.714285714,,1064000.0,,16.25,16.25,,16.25,,1072.0,1072.0,,1072.0,,3466.8,3475.08,3478.11,,,,0,0,0,0,1,10768530.45442331,208997.6581640865,mensualizacion_estacionalidad_nacional_y_semanalizacion_calendario_dias,proxy_operacional_no_observada
2021-01-18,2021-01-24,2021,2021,1,3,7,ANTIOQUIA,PANEL_DEPARTAMENTAL,44.90802281173776,2313.87,1752.93,1.32,198.8783867376958,0.0859505446449868,1081.0,2.822857142857143,71,22.11571428571429,27.51285714285714,18.14857142857142,77.53714285714285,14.35142857142857,0.6114285714285714,0.6114285714285714,18.29857142857143,0.2414285714285714,0.2558394968776296,0.2661432245837281,0.9024943310657596,0.5435844309604854,0.4632408774636151,0.8389722632390845,12.78523809523809,12.78523809523809,0.7149999999999999,26.43369047619048,0.6503571428571429,0.6723809523809524,0,0,0,0,0,1079142.857142857,1068714.285714286,,1067785.714285714,,16.25,16.25,,16.25,,1072.0,1072.0,,1072.0,,3525.25,3488.54,3466.8,,3475.66,,0,0,0,0,1,10768530.45442331,208997.6581640865,mensualizacion_estacionalidad_nacional_y_semanalizacion_calendario_dias,proxy_operacional_no_observada
2021-01-25,2021-01-31,2021,2021,1,4,7,ANTIOQUIA,PANEL_DEPARTAMENTAL,44.90802281173776,2313.87,1752.93,1.32,198.8783867376958,0.0859505446449868,1081.0,2.131428571428571,71,22.58857142857143,28.32285714285715,18.55142857142857,76.52285714285713,14.51571428571428,0.5971428571428571,0.6042857142857142,19.84571428571428,0.2457142857142857,0.2335400150582398,0.2006227155814268,0.79527048914804,0.7038626609442058,0.4362917055943814,0.8308875116783144,9.02,14.91666666666666,0.8878571428571427,26.97107142857143,0.6314285714285715,0.6425,0,0,0,0,0,1094714.285714286,1079142.857142857,1073000.0,1073214.285714286,0.0202369857542272,16.25,16.25,16.25,16.25,0.0,1072.0,1072.0,1072.0,1072.0,0.0,3559.46,3577.2,3525.25,3432.5,3507.41,0.03698762,0,0,0,0,1,10768530.45442331,208997.6581640865,mensualizacion_estacionalidad_nacional_y_semanalizacion_calendario_dias,proxy_operacional_no_observada
2021-02-01,2021-02-07,2021,2021,2,5,7,ANTIOQUIA,PANEL_DEPARTAMENTAL,50.9154426731335,2313.87,1752.93,1.32,203.661770692534,0.088017810288622,1107.0,3.225714285714285,71,22.43428571428572,27.90857142857143,18.66428571428571,77.7957142857143,14.67142857142857,0.5914285714285714,0.5971428571428571,17.73,0.2071428571428571,0.2201426103901855,0.3043183971842426,0.8302559118885653,0.4846825514281486,0.4333958736189892,0.8300187620856967,9.955714285714285,18.14238095238095,-0.0289285714285716,27.75142857142857,0.6135714285714285,0.6146428571428572,0,0,1,0,0,1091000.0,1094714.285714286,1050285.714285714,1083392.857142857,0.0387649619151253,16.88,16.25,16.25,16.4075,0.0387692307692306,1273.64,1072.0,1072.0,1122.41,0.1880970149253731,3543.28,3546.23,3559.46,3478.11,3523.7,0.01873719,0,0,0,0,1,10768530.45442331,236955.6176561702,mensualizacion_estacionalidad_nacional_y_semanalizacion_calendario_dias,proxy_operacional_no_observada
2021-02-08,2021-02-14,2021,2021,2,6,7,ANTIOQUIA,PANEL_DEPARTAMENTAL,50.9154426731335,2313.87,1752.93,1.32,203.661770692534,0.088017810288622,1107.0,2.484285714285714,71,21.99714285714285,27.03571428571428,18.55142857142857,79.96285714285715,14.75857142857143,0.5842857142857143,0.5928571428571427,15.35571428571429,0.1342857142857142,0.2082466008237742,0.2340598348449979,0.9293812763200526,0.2387154062453752,0.3995538990163899,0.8198661697049169,10.66428571428572,20.62666666666667,-0.0110714285714283,27.695,0.6014285714285714,0.5960714285714286,0,0,0,1,0,1068857.142857143,1091000.0,1068714.285714286,1083428.571428571,0.0001336719689879,16.88,16.88,16.25,16.565,0.0387692307692306,1273.64,1273.64,1072.0,1172.82,0.1880970149253731,3515.65,3542.15,3543.28,3466.8,3535.91,0.0140908,0,0,0,0,1,10768530.45442331,236955.6176561702,mensualizacion_estacionalidad_nacional_y_semanalizacion_calendario_dias,proxy_operacional_no_observada
2021-02-15,2021-02-21,2021,2021,2,7,7,ANTIOQUIA,PANEL_DEPARTAMENTAL,50.9154426731335,2313.87,1752.93,1.32,203.661770692534,0.088017810288622,1107.0,3.232857142857143,71,21.21285714285714,26.16714285714286,17.69857142857143,80.46285714285715,14.10571428571428,0.6114285714285714,0.61,14.40571428571429,0.1042857142857142,0.2543469595641968,0.304995261946663,0.8927761580822802,0.1402989492378274,0.4095091332403788,0.8228527399721136,11.07428571428572,23.85952380952381,-0.1071428571428572,27.35857142857143,0.6010714285714285,0.5960714285714286,0,0,0,0,0,1105857.142857143,1068857.142857143,1079142.857142857,1090107.142857143,0.0247550966375431,16.88,16.88,16.25,16.7225,0.0387692307692306,1273.64,1273.64,1072.0,1223.23,0.1880970149253731,3555.4,3534.86,3515.65,3525.25,3543.45,0.00855258,0,0,0,0,1,10768530.45442331,236955.6176561702,mensualizacion_estacionalidad_nacional_y_semanalizacion_calendario_dias,proxy_operacional_no_observada
2021-02-22,2021-02-28,2021,2021,2,8,7,ANTIOQUIA,PANEL_DEPARTAMENTAL,50.9154426731335,2313.87,1752.93,1.32,203.661770692534,0.088017810288622,1107.0,1.491428571428572,71,23.31428571428572,29.70428571428572,18.87,75.61714285714285,14.86857142857143,0.5728571428571428,0.5885714285714286,16.45,0.1157142857142857,0.1918995526816954,0.1399756328685528,0.6307094266277945,0.3520793251442947,0.3126480070843244,0.7937944021252973,10.43428571428571,19.45428571428572,-0.824642857142857,27.70392857142857,0.5971428571428571,0.59,0,0,0,1,0,1188428.571428571,1105857.142857143,1094714.285714286,1113535.714285714,0.0856061594675707,16.88,16.88,16.25,16.88,0.0387692307692306,1273.64,1273.64,1072.0,1273.64,0.1880970149253731,3624.39,3594.78,3555.4,3559.46,3559.68,0.01824153,0,0,0,0,1,10768530.45442331,236955.6176561702,mensualizacion_estacionalidad_nacional_y_semanalizacion_calendario_dias,proxy_operacional_no_observada
2021-03-01,2021-03-07,2021,2021,3,9,7,ANTIOQUIA,PANEL_DEPARTAMENTAL,43.62018867005055,2313.87,1752.93,1.32,193.175121253081,0.0834857279160372,1050.0,3.261428571428571,71,22.38857142857143,28.20857142857143,18.43285714285714,76.37714285714286,14.27428571428571,0.5685714285714286,0.5814285714285713,14.84428571428571,0.0942857142857142,0.1799858275388634,0.3077027209963449,0.8406219630709431,0.1857333136007103,0.3779362076955307,0.8133808623086591,10.47,20.42571428571429,-2.163214285714285,27.77892857142857,0.5932142857142857,0.5842857142857143,0,1,1,1,0,1170285.714285714,1188428.571428571,1091000.0,1133357.142857143,0.0726725153856224,16.25,16.88,16.88,16.7225,-0.0373222748815165,1128.007,1273.64,1273.64,1237.23175,-0.1143439276404635,3640.2,3642.67,3624.39,3543.28,3583.91,0.02735319,0,0,0,0,1,10768530.45442331,203004.2008069296,mensualizacion_estacionalidad_nacional_y_semanalizacion_calendario_dias,proxy_operacional_no_observada
2021-03-08,2021-03-14,2021,2021,3,10,7,ANTIOQUIA,PANEL_DEPARTAMENTAL,43.62018867005055,2313.87,1752.93,1.32,193.175121253081,0.0834857279160372,1050.0,0.99,71,21.31857142857143,25.91857142857143,18.14857142857142,80.12285714285714,14.15285714285714,0.5728571428571428,0.5857142857142856,14.23142857142857,0.1185714285714285,0.1889144780548296,0.0924597265466359,0.9167476514415284,0.1222435992304276,0.3367584517007956,0.8010275355102386,8.975714285714286,19.64,-4.903571428571428,27.49964285714286,0.5914285714285714,0.5814285714285714,0,1,0,1,0,1150285.714285714,1170285.714285714,1068857.142857143,1153714.285714285,0.0761828388131513,16.25,16.25,16.88,16.565,-0.0373222748815165,1128.007,1128.007,1273.64,1200.8235,-0.1143439276404635,3575.3,3587.1,3640.2,3515.65,3598.82,0.01696699,0,0,0,0,1,10768530.45442331,203004.2008069296,mensualizacion_estacionalidad_nacional_y_semanalizacion_calendario_dias,proxy_operacional_no_observada
