departamento;anio_referencia_y;produccion_anual_desde_semana_t;produccion_mensual_proxy_t;produccion_anual_departamental_t;area_cosechada_departamental_ha;rendimiento_departamental_t_ha;peso_mensual_prod_nacional;produccion_nacional_mensual_oficial_miles_sacos;valor_cosecha_anual_millones;PRECTOTCORR;IMERG_PRECTOT;lluvia_acum_4s;lluvia_acum_8s;T2M_mean;T2M_MAX_mean;T2M_MIN_mean;RH2M_mean;QV2M_mean;GWETTOP_mean;GWETROOT_mean;ALLSKY_SFC_SW_DWN_mean;WS2M_mean;anomalia_lluvia_semana_iso_mean;t2m_max_ma_4s_mean;gwetroot_ma_4s_mean;gwettop_ma_4s_mean;indice_climatico_base_x_mean;indice_climatico_ajustado_x_mean;dummy_exceso_lluvia_p75_any;dummy_exceso_lluvia_p75_mean;dummy_estres_hidrico_p25_any;dummy_estres_hidrico_p25_mean;dummy_temp_max_alta_p75_any;dummy_temp_max_alta_p75_mean;dummy_indice_climatico_bajo_p25_any;dummy_indice_climatico_bajo_p25_mean;dummy_indice_climatico_alto_p75_any;dummy_indice_climatico_alto_p75_mean;dummy_trm_lag4_alta_p75_any;dummy_trm_lag4_alta_p75_mean;dummy_devaluacion_4s_p75_any;dummy_devaluacion_4s_p75_mean;dummy_precio_interno_alto_p75_any;dummy_precio_interno_alto_p75_mean;dummy_precio_externo_alto_p75_any;dummy_precio_externo_alto_p75_mean;dummy_exportaciones_altas_p75_any;dummy_exportaciones_altas_p75_mean;precio_interno_cop_carga_mean;precio_interno_cop_carga_lag_1s_mean;precio_interno_cop_carga_lag_4s_mean;precio_interno_cop_carga_ma_4s_mean;precio_interno_cop_carga_var_4s_mean;precio_externo_exdock_cent_usd_lb_mean;precio_externo_exdock_cent_usd_lb_lag_1s_mean;precio_externo_exdock_cent_usd_lb_lag_4s_mean;precio_externo_exdock_cent_usd_lb_ma_4s_mean;precio_externo_exdock_cent_usd_lb_var_4s_mean;exportaciones_mensual_miles_sacos_mean;exportaciones_mensual_miles_sacos_lag_1s_mean;exportaciones_mensual_miles_sacos_lag_4s_mean;exportaciones_mensual_miles_sacos_ma_4s_mean;exportaciones_mensual_miles_sacos_var_4s_mean;trm_viernes_cop_usd_mean;trm_promedio_semana_cop_usd_mean;trm_viernes_cop_usd_lag_1s_mean;trm_viernes_cop_usd_lag_4s_mean;trm_viernes_cop_usd_ma_4s_mean;trm_viernes_cop_usd_var_4s_mean;nivel;dias_productivos_periodo_2021_2024;diff_target_anual
ANTIOQUIA;2021;2.313,87;198,8783867;2313,87;1.752,93;1,32;0,085950545;1081;10768530,45;144,1014286;3692;572,4557143;1093,886667;22,56538462;28,20942308;18,61796703;75,74162088;14,23162088;0,566373626;0,578076923;17,1410989;0,119945055;-2,275082418;28,21296093;0,579803114;0,568987332;0,37533875;0,812601625;0;0;1;0,653846154;1;0,615384615;1;0,576923077;0;0;0;0;0;0;1;0,076923077;0;0;1;0,673076923;1529753,663;1510154,762;1473178,814;1500016,712;0,059366631;15,60423077;15,61384615;15,6055102;15,61865385;-0,001995547;1042,890981;1041,060596;1033,339;1040,145404;0,101065734;3749,625192;3746,956154;3739,074038;3725,513061;3745,0002;0,01104246;PANEL_DEPARTAMENTAL;7;-6,843999335
ANTIOQUIA;2022;2.454,68;192,2355904;2454,68;1.789,27;1,37;0,078313911;868;14502232,06;351,9528571;3692;1417,928571;2835,648571;20,82516484;24,96085165;17,92983516;87,99961538;15,27475275;0,844395604;0,859120879;16,28307692;0,15293956;1,72206044;24,99980769;0,851387363;0,837211538;0,663898137;0,899169441;1;0,596153846;0;0;0;0;1;0,019230769;1;0,519230769;0;0;0;0;1;0,596153846;0;0;1;0,096153846;2150401,557;2152731,227;2163461,996;2154378,892;-0,004463023;17,52461538;17,44769231;17,21692308;17,40923077;0,01810438;952,7013462;955,2432692;962,8690385;956,5142308;-0,000597839;4264,701731;4258,470769;4248,758654;4201,031731;4241,665577;0,015788071;PANEL_DEPARTAMENTAL;7;-7,395022311
ANTIOQUIA;2023;2.029,31;155,2254892;2029,31;1.703,30;1,19;0,076491758;868;11143094,65;256,1228571;3692;1014,827143;2039,991429;21,71475275;25,99384615;18,52766484;85,06142857;15,53879121;0,755054945;0,743983516;17,37120879;0,175494505;-0,120824176;25,95472527;0,751057692;0,76106456;0,570165485;0,871049645;1;0,134615385;1;0,057692308;1;0,134615385;1;0,115384615;1;0,192307692;0;0;0;0;1;0,038461538;1;0,153846154;1;0,096153846;1624093,063;1633925,481;1660387,019;1638151,442;-0,01727956;18,76211538;18,75730769;18,74288462;18,75490385;0,004430766;882,6645385;882,0552115;880,2272308;881,7505481;0,010405481;4314,476731;4323,717115;4333,479615;4381,418269;4340,771923;-0,014384973;PANEL_DEPARTAMENTAL;7;-5,007273845
ANTIOQUIA;2024;2.121,27;145,3335204;2121,27;1.440,21;1,47;0,068512504;959;16061885,36;294,5242857;3692;1165,441429;2313;22,44153846;26,97947802;19,19357143;83,65532967;15,83293956;0,738516484;0,741071429;17,61090659;0,148489011;0,617664835;27,01589286;0,735453297;0,733337912;0,562010581;0,868603174;1;0,307692308;1;0,307692308;1;0,288461538;1;0,307692308;1;0,326923077;0;0;0;0;1;0,307692308;1;0,923076923;1;0,153846154;1890475,275;1864736,264;1790620,879;1852584,478;0,053030621;24,98961538;24,83326923;24,36423077;24,75509615;0,035338078;1025,776596;1021,214019;1007,526288;1018,932731;0,021270067;4071,300769;4069,508846;4060,148269;4036,268269;4056,672115;0,008866374;PANEL_DEPARTAMENTAL;7;-17,58169979
CALDAS;2021;2.802,47;240,8738229;2802,47;2.571,07;1,09;0,085950545;1081;10768530,45;175,9942857;3692;686,7742857;1309,046667;16,40785714;21,29008242;12,79692308;84,83950549;12,35134615;0,720906593;0,714835165;16,18068681;0,288791209;-1,931307692;21,30042125;0,71726801;0,723098291;0,427998674;0,828399602;0;0;1;0,519230769;1;0,326923077;1;0,596153846;1;0,019230769;0;0;0;0;1;0,076923077;0;0;1;0,673076923;1529753,663;1510154,762;1473178,814;1500016,712;0,059366631;15,60423077;15,61384615;15,6055102;15,61865385;-0,001995547;1042,890981;1041,060596;1033,339;1040,145404;0,101065734;3749,625192;3746,956154;3739,074038;3725,513061;3745,0002;0,01104246;PANEL_DEPARTAMENTAL;7;-10,47861042
CALDAS;2022;2.539,68;198,8922728;2539,68;2.487,43;1,02;0,078313911;868;14502232,06;358,5542857;3692;1441,275714;2879,684286;15,95244505;20,54321429;12,62799451;88,06046703;12,51975275;0,870769231;0,891401099;15,61741758;0,279972527;1,579461538;20,5431044;0,884876374;0,865673077;0,647260256;0,894178077;1;0,519230769;1;0,115384615;0;0;1;0,057692308;1;0,461538462;0;0;0;0;1;0,596153846;0;0;1;0,096153846;2150401,557;2152731,227;2163461,996;2154378,892;-0,004463023;17,52461538;17,44769231;17,21692308;17,40923077;0,01810438;952,7013462;955,2432692;962,8690385;956,5142308;-0,000597839;4264,701731;4258,470769;4248,758654;4201,031731;4241,665577;0,015788071;PANEL_DEPARTAMENTAL;7;-7,356183411
CALDAS;2023;2.219,10;169,7428599;2219,1;2.332,10;0,95;0,076491758;868;11143094,65;273,8514286;3692;1092,782857;2203,31;16,4518956;21,14024725;12,91881868;86,71230769;12,71351648;0,838186813;0,847032967;16,39326923;0,290604396;-0,04943956;21,12776099;0,850089286;0,840151099;0,598325399;0,87949762;1;0,211538462;1;0,096153846;1;0,192307692;1;0,134615385;1;0,288461538;0;0;0;0;1;0,038461538;1;0,153846154;1;0,096153846;1624093,063;1633925,481;1660387,019;1638151,442;-0,01727956;18,76211538;18,75730769;18,74288462;18,75490385;0,004430766;882,6645385;882,0552115;880,2272308;881,7505481;0,010405481;4314,476731;4323,717115;4333,479615;4381,418269;4340,771923;-0,014384973;PANEL_DEPARTAMENTAL;7;-5,475576127
CALDAS;2024;2.765,36;189,4617394;2765,36;2.351,82;1,18;0,068512504;959;16061885,36;293,6128571;3692;1155,82;2287,955714;17,00162088;21,72255495;13,49217033;86,60096154;13,13269231;0,8075;0,810796703;16,6357967;0,279038462;0,330587912;21,73565934;0,809574176;0,806620879;0,544925107;0,863477532;1;0,307692308;1;0,288461538;1;0,519230769;1;0,230769231;1;0,25;0;0;0;0;1;0,307692308;1;0,923076923;1;0,153846154;1890475,275;1864736,264;1790620,879;1852584,478;0,053030621;24,98961538;24,83326923;24,36423077;24,75509615;0,035338078;1025,776596;1021,214019;1007,526288;1018,932731;0,021270067;4071,300769;4069,508846;4060,148269;4036,268269;4056,672115;0,008866374;PANEL_DEPARTAMENTAL;7;-22,92010415
CAUCA;2021;3.260,56;280,2469078;3260,56;2.786,80;1,17;0,085950545;1081;10768530,45;202,3142857;3692;806,8485714;1555,864286;21,03722527;25,80269231;17,89302198;84,72282967;14,73942308;0,799615385;0,799313187;14,91008242;1,48021978;-0,497869505;25,74981456;0,800598291;0,801053877;0,5417414;0,86252242;1;0,211538462;1;0,307692308;1;0,076923077;1;0,230769231;1;0,288461538;0;0;0;0;1;0,076923077;0;0;1;0,673076923;1529753,663;1510154,762;1473178,814;1500016,712;0,059366631;15,60423077;15,61384615;15,6055102;15,61865385;-0,001995547;1042,890981;1041,060596;1033,339;1040,145404;0,101065734;3749,625192;3746,956154;3739,074038;3725,513061;3745,0002;0,01104246;PANEL_DEPARTAMENTAL;7;-13,13345037
CAUCA;2022;2.768,37;216,8018811;2768,37;2.630,86;1,05;0,078313911;868;14502232,06;251,2614286;3692;1010,955714;2030,705714;20,7214011;25,49403846;17,64041209;85,07274725;14,52129121;0,802115385;0,803021978;14,39857143;1,488049451;0,443421703;25,49975275;0,801737637;0,801229396;0,53346775;0,860040325;1;0,384615385;1;0,173076923;1;0,038461538;1;0,153846154;1;0,288461538;0;0;0;0;1;0,596153846;0;0;1;0,096153846;2150401,557;2152731,227;2163461,996;2154378,892;-0,004463023;17,52461538;17,44769231;17,21692308;17,40923077;0,01810438;952,7013462;955,2432692;962,8690385;956,5142308;-0,000597839;4264,701731;4258,470769;4248,758654;4201,031731;4241,665577;0,015788071;PANEL_DEPARTAMENTAL;7;-6,693975767
