departamento,anio_referencia_y,produccion_anual_desde_semana_t,produccion_anual_departamental_t,area_cosechada_departamental_ha,rendimiento_departamental_t_ha,valor_cosecha_anual_millones,PRECTOTCORR,IMERG_PRECTOT,lluvia_acum_4s,lluvia_acum_8s,T2M_mean,T2M_MAX_mean,T2M_MIN_mean,RH2M_mean,GWETROOT_mean,ALLSKY_SFC_SW_DWN_mean,WS2M_mean,indice_climatico_base_x_mean,indice_climatico_ajustado_x_mean,precio_interno_cop_carga_mean,precio_externo_exdock_cent_usd_lb_mean,exportaciones_mensual_miles_sacos_mean,trm_promedio_semana_cop_usd_mean,diff_target_anual,anio_label
ANTIOQUIA,2021,2313.87,2313.87,1752.93,1.32,10768530.45442331,144.1014285714286,3692,572.4557142857143,1093.886666666667,22.56538461538462,28.20942307692308,18.61796703296703,75.74162087912087,0.578076923076923,17.1410989010989,0.1199450549450549,0.3753387504251285,0.8126016251275385,1529753.663003663,15.60423076923077,1042.890980769231,3746.956153846154,-6.843999335033004,2021
ANTIOQUIA,2022,2454.68,2454.68,1789.27,1.37,14502232.05729942,351.9528571428571,3692,1417.928571428571,2835.648571428571,20.82516483516483,24.96085164835165,17.92983516483516,87.99961538461538,0.8591208791208792,16.28307692307692,0.1529395604395604,0.6638981366039673,0.8991694409811901,2150401.556776557,17.52461538461538,952.7013461538462,4258.470769230769,-7.39502231071765,2022
ANTIOQUIA,2023,2029.31,2029.31,1703.3,1.19,11143094.64744758,256.1228571428571,3692,1014.827142857143,2039.991428571429,21.71475274725275,25.99384615384616,18.52766483516483,85.06142857142858,0.7439835164835166,17.37120879120879,0.1754945054945055,0.5701654845857618,0.8710496453757285,1624093.063186813,18.76211538461538,882.6645384615384,4323.717115384616,-5.007273844994415,2023
ANTIOQUIA,2024,2121.27,2121.27,1440.21,1.47,16061885.36132928,294.5242857142857,3692,1165.441428571429,2313.0,22.44153846153846,26.97947802197802,19.19357142857143,83.65532967032966,0.7410714285714286,17.61090659340659,0.148489010989011,0.5620105810183739,0.868603174305512,1890475.274725275,24.98961538461538,1025.776596153846,4069.508846153846,-17.58169978935712,2024
CALDAS,2021,2802.47,2802.47,2571.07,1.09,10768530.45442331,175.9942857142857,3692,686.7742857142857,1309.046666666667,16.40785714285714,21.29008241758242,12.79692307692308,84.8395054945055,0.7148351648351648,16.18068681318681,0.2887912087912088,0.4279986735796929,0.828399602073908,1529753.663003663,15.60423076923077,1042.890980769231,3746.956153846154,-10.47861041615988,2021
CALDAS,2022,2539.68,2539.68,2487.43,1.02,14502232.05729942,358.5542857142857,3692,1441.275714285714,2879.684285714286,15.95244505494506,20.54321428571428,12.6279945054945,88.06046703296703,0.8914010989010989,15.61741758241758,0.2799725274725274,0.6472602555996958,0.8941780766799087,2150401.556776557,17.52461538461538,952.7013461538462,4258.470769230769,-7.356183410607173,2022
CALDAS,2023,2219.1,2219.1,2332.1,0.95,11143094.64744758,273.8514285714286,3692,1092.782857142857,2203.31,16.4518956043956,21.14024725274725,12.91881868131868,86.71230769230769,0.8470329670329669,16.39326923076923,0.2906043956043956,0.5983253988865879,0.8794976196659763,1624093.063186813,18.76211538461538,882.6645384615384,4323.717115384616,-5.475576126578744,2023
CALDAS,2024,2765.36,2765.36,2351.82,1.18,16061885.36132928,293.6128571428571,3692,1155.82,2287.955714285714,17.00162087912088,21.72255494505495,13.49217032967033,86.60096153846153,0.8107967032967033,16.6357967032967,0.2790384615384615,0.5449251073400373,0.8634775322020112,1890475.274725275,24.98961538461538,1025.776596153846,4069.508846153846,-22.92010414963534,2024
CAUCA,2021,3260.56,3260.56,2786.8,1.17,10768530.45442331,202.3142857142857,3692,806.8485714285714,1555.864285714286,21.03722527472528,25.80269230769231,17.89302197802198,84.72282967032967,0.7993131868131869,14.91008241758242,1.48021978021978,0.5417413999618771,0.8625224199885632,1529753.663003663,15.60423076923077,1042.890980769231,3746.956153846154,-13.13345036762212,2021
CAUCA,2022,2768.37,2768.37,2630.86,1.05,14502232.05729942,251.2614285714286,3692,1010.955714285714,2030.705714285714,20.7214010989011,25.49403846153846,17.64041208791209,85.07274725274725,0.8030219780219781,14.39857142857143,1.48804945054945,0.5334677501752149,0.8600403250525643,2150401.556776557,17.52461538461538,952.7013461538462,4258.470769230769,-6.693975766978383,2022
CAUCA,2023,2955.75,2955.75,2565.66,1.15,11143094.64744758,219.8314285714286,3692,852.4214285714286,1688.968571428572,21.75428571428572,26.75535714285714,18.43274725274725,82.83192307692308,0.7879945054945056,14.90771978021978,1.327884615384615,0.489834087172565,0.8469502261517695,1624093.063186813,18.76211538461538,882.6645384615384,4323.717115384616,-7.293242366785762,2023
CAUCA,2024,3373.6,3373.6,2370.13,1.42,16061885.36132928,235.07,3692,951.7085714285714,1911.5,22.01057692307692,27.07244505494506,18.71535714285714,83.18991758241759,0.7838736263736265,15.36145604395604,1.434368131868132,0.4894521136824962,0.8468356341047488,1890475.274725275,24.98961538461538,1025.776596153846,4069.508846153846,-27.96137333266142,2024
HUILA,2021,4880.42,4880.42,4604.17,1.06,10768530.45442331,242.7471428571428,3692,970.3457142857144,1867.953333333333,15.30115384615384,19.52516483516484,12.05107142857143,88.26565934065934,0.8421153846153846,13.8007967032967,1.153269230769231,0.5918100471593323,0.8775430141477997,1529753.663003663,15.60423076923077,1042.890980769231,3746.956153846154,-16.78341623499728,2021
HUILA,2022,4712.69,4712.69,4706.54,1.0,14502232.05729942,216.73,3692,871.1885714285714,1767.91,15.19321428571429,19.63456043956044,11.79815934065934,87.71241758241757,0.7976648351648351,13.74005494505495,1.145192307692308,0.5584555229344794,0.8675366568803438,2150401.556776557,17.52461538461538,952.7013461538462,4258.470769230769,-9.977109260924408,2022
HUILA,2023,5606.46,5606.46,4846.99,1.16,11143094.64744758,188.89,3692,724.6457142857143,1429.114285714286,15.70950549450549,20.16065934065934,12.33934065934066,87.139010989011,0.7383241758241758,13.4171978021978,1.329532967032967,0.4792635301352224,0.8437790590405666,1624093.063186813,18.76211538461538,882.6645384615384,4323.717115384616,-13.83380583597682,2023
HUILA,2024,6633.9,6633.9,4620.47,1.44,16061885.36132928,175.0314285714286,3692,704.9314285714286,1391.798571428571,16.34568681318681,21.02722527472528,12.90054945054945,85.9971978021978,0.6728571428571428,13.91508241758242,1.373186813186813,0.4039138354313941,0.8211741506294181,1890475.274725275,24.98961538461538,1025.776596153846,4069.508846153846,-54.98368346915595,2024
TOLIMA,2021,6305.07,6305.07,7506.04,0.84,10768530.45442331,198.0842857142857,3692,783.0885714285714,1508.298095238095,22.99337912087912,28.02857142857143,18.8204945054945,74.25673076923077,0.6007967032967033,16.18068681318681,1.286208791208791,0.4358343106150419,0.8307502931845125,1529753.663003663,15.60423076923077,1042.890980769231,3746.956153846154,-25.53703244302051,2021
TOLIMA,2022,5325.52,5325.52,7442.22,0.72,14502232.05729942,327.23,3692,1312.991428571429,2627.925714285714,22.23057692307692,26.72914835164835,18.38876373626374,79.17815934065933,0.7143956043956045,15.61741758241758,1.16510989010989,0.6123956485585506,0.8837186945675651,2150401.556776557,17.52461538461538,952.7013461538462,4258.470769230769,-14.07752922457348,2022
TOLIMA,2023,5199.53,5199.53,7725.03,0.67,11143094.64744758,258.0414285714286,3692,1026.971428571429,2063.094285714286,22.80057692307692,27.48802197802198,18.76835164835165,77.94752747252747,0.7192857142857143,16.39326923076923,1.23739010989011,0.5960872027333756,0.8788261608200126,1624093.063186813,18.76211538461538,882.6645384615384,4323.717115384616,-12.82971580254616,2023
TOLIMA,2024,8120.99,8120.99,7498.54,1.08,16061885.36132928,271.0928571428572,3692,1062.811428571429,2103.001428571429,23.63096153846154,28.52197802197802,19.4785989010989,75.71538461538461,0.6724175824175824,16.6357967032967,1.228241758241758,0.5208900020709815,0.8562670006212945,1890475.274725275,24.98961538461538,1025.776596153846,4069.508846153846,-67.30911584681417,2024
